id,file,action,stamps_before,faces_covered_before,stamps_after,faces,faces_covered_after,logo_width_frac,logo_cx,logo_cy,w,h,kb
255,keif-aldiafa-offering-tray-with-four-cappuccinos.webp,rebuilt-1-center,1,0,1,0,0,0.34,0.5,0.61,1172,1200,136
256,keif-aldiafa-offering-tuna-salad-sesame-roll-on-white-plate.webp,rebuilt-1-center,1,0,1,0,0,0.34,0.5,0.61,900,1200,48
257,keif-aldiafa-offering-white-birthday-cake-with-red-hearts.webp,restored,1,0,1,0,0,,,,736,752,37
258,keif-aldiafa-service-erksous-carrier-red-carpet-outdoor-night-4.webp,rebuilt-1-center,0,0,1,1,0,0.34,0.5,0.61,675,1200,190
259,keif-aldiafa-service-erksous-juice-carrier-fez-heritage-street.webp,rebuilt-1-center,2,0,1,0,0,0.34,0.5,0.61,770,1200,100
260,keif-aldiafa-service-erksous-juice-carrier-levantine-costume-night-2.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,675,1200,215
261,keif-aldiafa-service-erksous-juice-carrier-pouring-cup-night-3.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,800,1200,162
262,keif-aldiafa-service-erksous-tamarind-juice-carrier-levantine-costume-night-1.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,726,1200,198
263,keif-aldiafa-service-folk-drummers-performance-red-carpet-night.webp,rebuilt-1-center,1,0,1,3,0,0.28,0.5,0.58,1200,900,232
264,keif-aldiafa-service-hand-henna-artist-applying-design.webp,restored,1,0,1,0,0,,,,828,817,63
265,keif-aldiafa-service-hand-lifting-decorative-arabic-coffee-cup.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,828,1073,53
266,keif-aldiafa-service-hands-drawing-on-cutout-shapes.webp,restored,1,0,1,0,0,,,,828,748,53
267,keif-aldiafa-service-henna-artist-station-outdoor-tent-night-1.webp,rebuilt-1-center,1,0,1,0,0,0.34,0.5,0.61,900,1200,219
268,keif-aldiafa-service-henna-artist-station-outdoor-tent-night-2-closeup.webp,rebuilt-1-center,1,0,1,0,0,0.34,0.5,0.61,900,1200,166
269,keif-aldiafa-service-heritage-tent-sadu-majlis-indoor-hall-1.webp,rebuilt-1-center,0,0,1,0,0,0.28,0.5,0.58,1200,900,163
270,keif-aldiafa-service-heritage-tent-sadu-majlis-outdoor-turf-2.webp,rebuilt-1-center,0,0,1,0,0,0.28,0.5,0.58,1200,675,163
271,keif-aldiafa-service-man-serving-traditional-cups-with-golden-stand.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,880,1200,140
272,keif-aldiafa-service-men-using-mirror-photo-booth.webp,restored,1,0,1,3,0,,,,800,1200,92
273,keif-aldiafa-service-mirror-photo-booth-red-carpet-corporate-lobby.webp,rebuilt-1-center,1,0,1,0,0,0.34,0.5,0.61,900,1200,155
